TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
300,Da gai,E.57259,Ophiocomidae,Ophiocoma schoenleinii,"Müller & Troschel, 1842",Đuôi rắn,Đá Nam,08.10.2020,11°23'07.0,114°18'22.6,,,,,,,"Màu sắc, đặc điểm:Đĩa có hình tròn, đĩa được phủ vảy mịn ở mặt lưng và bụng; Mặt lưng của đĩa trung tâm được bao phủ bởi các hạt tròn, dày. Mặt bụng có các gai miệng ở hàm và cụm gai răng ở phía đầu hàm. Mảnh xương quanh miệng có thể nhìn thấy rõ. Màu sắc khi còn sống, đĩa có màu đen đồng nhất với các xúc tu màu xám nâu xỉn, mẫu vật được bảo quản có màu đen đến xám, bao gồm cả các xúc tu.
Sinh học, sinh thái: thường được tìm thấy trong các rạn san hô, rừng ngập mặn và ở độ sâu từ 0 - 20m
Phân bố: Ấn Độ-Thái Bình Dương: Đông Phi đến Hawaii và đảo Paumotu."
301,Da gai,E.57260,Ophionereididae,Ophionereis variegata,"Duncan, 1879",Đuôi rắn,Đá Nam,08.10.2020,11°23'07.0,114°18'22.6,,,,,,,"Màu sắc, đặc điểm: Mẫu đuôi rắn của nhóm loài này khi thu được thường nhỏ, đĩa thân có dạng tròn, đường kính thường gặp từ 3-4mm, các tay dài gấp khoảng 5 lần đĩa thân. Mặt lưng của đĩa có những vảy lớn và nhỏ xen lẫn nhau, trong đó có 6 mảnh xương nguyên thủy lớn có thể phân biệt được rõ ràng. Mặt bụng với mỗi hàm mang nhiều gai miệng và gai răng, rìa mép của các gai sinh dục được viền bởi các gai sinh dục. Đặc biệt trên mỗi bên của đốt tay có một vảy phụ xen vào giữa. Các mảnh xương tay phía bụng có dạng quạt, và phần rộng hơn nằm ở phía ngoài. Mặt lưng của đĩa thân khi ngâm cồn có màu hơi tím với các đường sáng tỏa ra. Thuẫn xuyên tâm hơi trắng. Mặt lưng các tay với những đường băng ngang màu tím và trắng xen kẽ nhau.
Sinh thái: gặp từ vùng triều cho đến độ sâu 60m
Phân bố: vịnh Aqaba, Biển Đỏ, Trung Quốc, Nam Nhật Bản, Inđônêxia."
302,Da gai,E.57263,Ophiocomidae,Ophiocoma schoenleinii,"Müller & Troschel, 1842",Đuôi rắn,Tốc Tan,17.10.2020,08°49'38.3,113°56'06.5,,,,,,,"Màu sắc, đặc điểm:Đĩa có hình tròn, đĩa được phủ vảy mịn ở mặt lưng và bụng; Mặt lưng của đĩa trung tâm được bao phủ bởi các hạt tròn, dày. Mặt bụng có các gai miệng ở hàm và cụm gai răng ở phía đầu hàm. Mảnh xương quanh miệng có thể nhìn thấy rõ. Màu sắc khi còn sống, đĩa có màu đen đồng nhất với các xúc tu màu xám nâu xỉn, mẫu vật được bảo quản có màu đen đến xám, bao gồm cả các xúc tu.
Sinh học, sinh thái: thường được tìm thấy trong các rạn san hô, rừng ngập mặn và ở độ sâu từ 0 - 20m
Phân bố: Ấn Độ-Thái Bình Dương: Đông Phi đến Hawaii và đảo Paumotu."
303,Da gai,E.57264,Oreasteridae,Choriaster granulatus,"Lütken, 1869",Sao biển,Thuyền Chài,30.10.2020,08°15'52.2,113°21'45.5,,,,,,,"Màu sắc, đặc điểm: Đây là loài sao biển có kích thước lớn, có 5 cánh hình nón, ngắn và dày và phần đầu tròn. Loài sao biển này có màu hồng nhạt, có các nhú nhỏ màu nâu tập trung thành cụm ở vùng trung tâm của cơ thể. Loài này phát triển đến bán kính tối đa khoảng 27 cm.
Sinh học, sinh thái: Loài sao biển Choriaster granulatus này thường bắt gặp tại vùng cát giữa giữa san hô và bọt biển và ăn các polyp san hô và động vật không xương sống nhỏ khác.
Phân bố: trên thế giới Ấn Độ Dương, Tây Thái Bình Dương–Tây Phi, Biển Đỏ, Maldives, Biển Đông, Úc và các đảo phía nam Thái Bình Dương. Ở Việt Nam tìm thấy Nha Trang"
304,Da gai,E.57265,Mithrodiidae,Mithrodia clavigera,"(Lamarck, 1816)",Sao biển móng tay,Thuyền Chài,30.10.2020,08°15'52.2,113°21'45.5,,,,,,,"Màu sắc, đặc điểm:Mithrodia clavigera là một loài sao biển nhiệt đới thuộc họ Mithrodiidae. Cơ thể có màu da nhạt và trên các cánh tay có các đường màu nâu sẫm đến đỏ, và khi bảo quản trong cồn cơ thể sẽ có màu trắng đồng nhất. Bề mặt lưng và bụng có dạng hạt. Tấm xương lưng có dạng đa giác nhưng chủ yếu là dạng hình lục giác cách xa nhau và được liên kết bằng các tấm xương dạng hình chữ nhật.
Sinh học, sinh thái:  các sao biển Mithrodia clavigera ăn các vật chất hữu cơ nhỏ trong nước, còn những sao biển trưởng thành sẽ ăn các động vật không xương sống kích thước nhỏ. Loài sao biển này hoạt động nhiêu hơn vào ban đêm. Chúng thường sống trên các nền đáy cứng như các rạn san hô ở độ sâu từ 0 - 80m. 
Phân bố: trên thế giới Quần đảo Bahama, Biển Caribe, Đông Phi, Madagascar, Biển Đỏ, Seychelles, Quần đảo Aldabra, Biển Đông, New Caledonia và Quần đảo Palau."
305,Da gai,E.57266,Echinasteridae,Echinaster luzonicus,"(Gray, 1840)",Sao biển,Thuyền Chài,30.10.2020,08°15'52.2,113°21'45.5,,,,,,,"Màu sắc, đặc điểm: Sao biển Echinaster luzonicus còn được gọi là sao biển nốt sần nhỏ, là một loài sao biển thuộc họ Echinasteridae. Màu sắc của loài sao biển này khá đa dạng từ đỏ đến nâu sẫm. Đây là loài sao biển có khả năng tái tạo cơ thể đáng chú ý nhất có đĩa trung tâm tương đối nhỏ, các cánh tay tỏa tròn xung quanh đĩa trung tâm có 5 - 8 cánh tay, nhưng phần lớn là 6 tay nhưng các cánh tay này bất đối xứng do đặc tính rụng cánh tay và tái sinh lại. Các cánh tay dài, thuôn tròn, phần chóp có màu tối và thường cong lên. Chiều dài các cánh có thể lên tới 22 cm khi trưởng thành. Trên mặt lưng được phủ kính các chấm nhỏ có màu tối. Trên cơ thể có nhiều gai xương dưới lớp biểu bì, dưới mỗi cánh tay có hai hàng chân dùng để di chuyển và vận chuyển thức ăn.
Sinh học, sinh thái: Con mồi của loài sao biển này khá đa dạng từ động vật không xương sống như bọt biển, giun, động vật thân mềm, đến các chất hữu cơ hay xác thối. Thế nhưng nó cũng chính là con mồi ưa thích của loài tôm Hymenocera picta. Chúng được tìm thấy ở độ sâu khoảng 20 m, đôi khi lên đến 73m và đôi khi được tìm thấy ở các rạn san hô.
Phân bố: Sao biển Echinaster luzonicus được tìm thấy ở vùng biển nhiệt đới Ấn Độ - Thái Bình Dương, chủ yếu ở các khu vực của Indonesia và Philippines và từ vịnh Bengal đến New Caledonia và Polynesia. Ở Việt Nam tìm thấy ở Quãng Trị, Bà Rịa Vũng Tàu, Kiên Giang (Phú Quốc)"
306,Da gai,E.57267,Toxopneustidae,Tripneustes gratilla,"(Linnaeus, 1758)",Cầu gai sọ dừa,Thuyền Chài,30.10.2020,08°15'52.2,113°21'45.5,,,,1,1,,"Màu sắc, đặc điểm: Lớp vỏ ngoài của nhum có hình cầu, bên ngoài có nhiều gai nhọn. Đường kính cơ thể dao động từ 3- 10 cm và có một số cá thể có kích thước lớn hơn. Gai của chúng mọc khá dày bên ngoài lớp vỏ với độ dài từ 3- 5 cm. Màu sắc của nhum biển cũng rất đa dạng, chúng có thể có màu đen, nâu sẫm, tím hoặc trắng. hần thịt bên trong nhum biển khá ít và được gọi là trứng cầu gai. Phần trứng này thường được chia thành 5-8 cánh nhỏ phân bố đều bên trong cơ thể nhum biển với hình vòng cung. Trứng nhím biển có màu vàng hoặc màu vàng cam. Ở bề mặt bên ngoài của nhím biển có lỗ miệng và lỗ hậu môn giúp chúng ăn thức ăn và thải phân ra bên ngoài. Miệng cầu gai thường có 5 cái răng và xung quanh được bao bọc bằng nhiều mảnh xương nhỏ. 
Sinh học, sinh thái: Loài động vật này di chuyển với tốc độ chậm, dựa vào lực đẩy của dòng nước, chúng sẽ xoay cơ thể để di chuyển. Thường gặp ở vùng dưới triều, độ sâu từ 2-10 m. Sống trong cỏ biển, rong mơ,… trên nền đáy san hô chết. Thức ăn là các loài rong tảo cỏ biển và cả chất mùn bã hữu cơ. Ngoài ra, một số loài nhum biển còn ăn động vật không xương sống như bọt biển, giun tơ…Nhum biển không sống đơn lẻ mà thường tụ tập thành nhóm, bầy đàn tạo nên các thảm sinh vật. Những khu vực xuất hiện nhiều nhím biển là cá hốc, ghềnh đá, thảm rong và tảo ở các vùng biển ấm. Là loài đơn tính, con đực và con cái không phân biệt. Mùa sinh sản kéo dài nhưng rộ nhất từ tháng 10-12. Thụ tinh xảy ra trong nước biển.
Phân bố: Trên thế giới, chúng phân bố rộng khắp các vùng biển, loài này thường gặp ở vùng Ấn Độ- tây Thái Bình Dương. Ở Việt Nam, chúng sống ở Phú Yên, Khánh Hòa (đặc biệt là huyện đảo Trường Sa), Ninh Thuận, Bình Thuận, Côn Đảo,…"
307,Da gai,E.57268,Oreasteridae,Culcita novaeguineae,"Müller & Troschel, 1842",Sao biển gối,Đá Nam,02.04.2021,11°23'10.0,114°17'43.6,,,,,,,"Màu sắc, đặc điểm: Sao biển gối có màu sắc đa dạng, trên mặt lưng có các vết đốm với các màu sắc tối hơn hoặc sáng hơn (nâu, nâu vàng, vàng, cam và xanh lá cây) so với màu tổng thể trên bề mặt lưng của chúng. Loài sao biển này có 5 cánh, những con trưởng thành có cánh tay ngắn và hình dạng cơ thể giống như chiếc gối ngũ giác với bề mặt lưng căng tròn. Chúng có thể phát triển và đạt kích thước của đường kính lên đến 30cm. Các sao biển gối còn nhỏ có hình dạng khác so với các sao biển trưởng thành, tuy nhiên chúng cũng có 5 cánh tay, cánh tay ngắn và rộng nhưng mặt lưng phẳng không nhô cao như con trưởng thành.
Sinh học, sinh thái: thức ăn của chúng là các loài động vật nhỏ sống trên san hô, hoặc các loài sinh vật sống trên các loài khác và các vật chất hữu cơ có trong nước, chúng thường sống ở vùng nước nông ở độ sâu lên tới 40 mét, và được tìm thấy trên các sườn đá vụn, rạn san hô, thường xuyên ở những vị trí có đá vụn và mảnh vụn.
Phân bố: loài sao biển gối này thường được tìm thấy ở các vùng nước ấm nhiệt đới như Ấn Độ - Thái Bình Dương. Ở Việt Nam chúng được tìm thấy ở các vùng biển như Quảng Ninh, Nha Trang, Vũng Tàu, Phú Quốc,..
Ứng dụng: loài sao biển này không được dùng làm thực phẩm, chỉ dùng trong thủ công mỹ nghệ."
308,Da gai,E.57269,Mithrodiidae,Mithrodia clavigera,"(Lamarck, 1816)",Sao biển móng tay,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,,,,,,"Màu sắc, đặc điểm:Mithrodia clavigera là một loài sao biển nhiệt đới thuộc họ Mithrodiidae. Cơ thể có màu da nhạt và trên các cánh tay có các đường màu nâu sẫm đến đỏ, và khi bảo quản trong cồn cơ thể sẽ có màu trắng đồng nhất. Bề mặt lưng và bụng có dạng hạt. Tấm xương lưng có dạng đa giác nhưng chủ yếu là dạng hình lục giác cách xa nhau và được liên kết bằng các tấm xương dạng hình chữ nhật.
Sinh học, sinh thái:  các sao biển Mithrodia clavigera ăn các vật chất hữu cơ nhỏ trong nước, còn những sao biển trưởng thành sẽ ăn các động vật không xương sống kích thước nhỏ. Loài sao biển này hoạt động nhiêu hơn vào ban đêm. Chúng thường sống trên các nền đáy cứng như các rạn san hô ở độ sâu từ 0 - 80m. 
Phân bố: trên thế giới Quần đảo Bahama, Biển Caribe, Đông Phi, Madagascar, Biển Đỏ, Seychelles, Quần đảo Aldabra, Biển Đông, New Caledonia và Quần đảo Palau."
309,Da gai,E.57270,Ophidiasteridae,Linckia laevigata,"(Linnaeus, 1758)",Sao biển xanh,Nam Yết,16.04.2021,10°11'06.5,114°21'48.5,,,,,,,"Màu sắc, đặc điểm: Các cá thể của loài sao biển này có màu xanh da trời nhạt, đậm hoặc sáng, tuy nhiên cũng có các biến thể có màu trắng xanh, tím hoặc cam. Đây là loại sao biển có 5 cánh nhưng một vài trường hợp có thể có 6 cánh, các cánh tay thon dài và có phần chóp tròn, một số cá thể có thể có các đốm tròn trên mặt lưng và có màu xanh đậm hơn hoặc nhạt hơn tùy vào màu của mặt lưng. Mặt bụng, ở giữa mỗi cánh tay có một đường chân ống màu vàng bắt đầu từ đĩa trung tâm đến chóp cánh tay. Sao biển trưởng thành đường kính có thể lên đến 30cm.
Sinh học, sinh thái: sao biển xanh cũng là loài thích ăn mầm san hô sống, thức ăn của chúng còn bao gồm cá nóc, ốc kèn, hải quỳ và một số loài sao biển khác. Sao biển xanh thường tìm thấy ở các vỉa san hô ngầm và cỏ biển và thường có mật độ phân bố thưa thớt
Phân bố: chúng sống trong vùng nước nông của vùng biển nhiệt đới Ấn Độ Dương - Thái Bình Dương. Ở Việt Nam chúng thường được tìm thấy ở các vùng biển Quãng Trị, Khánh Hòa.
Ứng dụng: sao biển xanh có giá trị trong ngành thủ công mỹ nghệ với các sản phẩm được sấy khô dùng làm đồ trang trí và du lịch. Chính vì vậy một số nơi số lượng loài giảm đáng kể do sự khai thác quá mức, ngoài ra chúng còn được đánh bắt để nuôi trong các hồ cá cảnh."
